,Frame,label,id,confidence
0,1,car,0,50.1
1,1,car,1,50.65
2,1,car,2,54.41
3,1,car,3,55.22
4,1,car,4,60.03
5,1,truck,5,65.12
6,1,car,6,65.32
7,1,car,7,65.62
8,1,car,8,72.83
9,1,car,9,73.3
10,1,car,10,75.67
11,1,car,11,78.5
12,1,car,12,78.53
13,1,car,13,86.95
14,1,car,14,87.55
15,1,car,15,89.4
16,2,car,1,50.14
17,2,car,3,51.53
18,2,car,2,52.93
19,2,car,4,61.58
20,2,car,7,62.96
21,2,car,6,64.39
22,2,car,9,66.73
23,2,car,11,67.56
24,2,car,8,71.08
25,2,car,10,73.13
26,2,truck,5,75.21
27,2,car,12,77.33
28,2,car,14,87.59
29,2,car,15,87.8
30,2,car,13,88.75
31,3,truck,6,51.47
32,3,car,3,51.89
33,3,truck,16,55.38
34,3,car,4,58.63
35,3,car,7,61.38
36,3,car,5,66.19
37,3,car,9,68.72
38,3,car,8,70.64
39,3,car,10,70.86
40,3,car,11,74.3
41,3,car,12,74.69
42,3,car,14,85.14
43,3,car,13,86.64
44,3,car,15,88.59
45,4,car,3,51.72
46,4,truck,6,52.44
47,4,truck,16,55.65
48,4,car,4,56.69
49,4,car,7,60.94
50,4,car,9,67.87
51,4,car,5,68.02
52,4,car,8,70.1
53,4,car,10,70.52
54,4,car,11,74.47
55,4,car,12,74.7
56,4,car,14,84.91
57,4,car,13,86.82
58,4,car,15,88.63
59,5,car,0,53.74
60,5,car,3,55.11
61,5,car,6,55.84
62,5,truck,16,59.26
63,5,car,7,64.49
64,5,car,10,67.12
65,5,car,8,72.72
66,5,car,9,73.09
67,5,car,12,73.19
68,5,car,4,75.37
69,5,car,14,83.17
70,5,car,13,85.82
71,5,car,5,86.82
72,5,car,15,88.33
73,6,car,1,51.16
74,6,car,3,54.91
75,6,truck,6,56.02
76,6,truck,16,56.77
77,6,car,10,60.57
78,6,car,11,62.16
79,6,car,4,64.14
80,6,car,7,65.12
81,6,car,9,71.66
82,6,car,8,71.68
83,6,car,12,73.47
84,6,car,14,81.45
85,6,car,5,85.08
86,6,car,15,85.65
87,6,car,13,86.85
88,7,car,1,51.88
89,7,car,4,52.55
90,7,car,10,55.56
91,7,car,3,57.19
92,7,car,7,64.86
93,7,car,9,67.1
94,7,car,12,70.97
95,7,car,8,71.44
96,7,car,11,77.07
97,7,car,5,84.12
98,7,car,14,85.76
99,7,car,13,86.02
100,7,car,15,86.16
101,8,car,1,51.3
102,8,car,3,58.53
103,8,car,10,60.93
104,8,car,7,65.77
105,8,car,4,66.15
106,8,car,9,69.65
107,8,car,12,72.05
108,8,car,8,72.69
109,8,car,11,80.86
110,8,car,15,84.64
111,8,car,5,87.1
112,8,car,13,87.29
113,8,car,14,88.5
114,9,car,0,50.93
115,9,truck,6,50.97
116,9,truck,16,51.28
117,9,car,3,59.09
118,9,car,4,62.38
119,9,car,10,65.07
120,9,car,7,66.9
121,9,car,9,71.7
122,9,car,12,73.47
123,9,car,8,74.4
124,9,car,11,80.74
125,9,car,13,86.82
126,9,car,14,87.64
127,9,car,15,88.91
128,9,car,5,89.46
129,10,car,2,50.56
130,10,car,1,50.9
131,10,truck,16,53.65
132,10,car,3,58.63
133,10,car,4,63.09
134,10,car,10,64.8
135,10,car,7,66.51
136,10,car,9,70.4
137,10,car,11,72.75
138,10,car,8,73.3
139,10,car,12,74.65
140,10,car,14,86.27
141,10,car,13,87.08
142,10,car,15,87.84
143,10,car,5,87.93
144,11,car,2,50.28
145,11,car,0,51.45
146,11,car,17,51.63
147,11,truck,6,54.89
148,11,car,1,55.63
149,11,car,3,58.55
150,11,car,10,61.74
151,11,car,4,63.41
152,11,car,7,66.77
153,11,car,11,70.39
154,11,car,9,71.67
155,11,car,8,72.69
156,11,car,12,73.14
157,11,car,14,87.91
158,11,car,13,88.56
159,11,car,15,88.85
160,11,car,5,89.35
161,12,car,17,50.17
162,12,car,18,51.26
163,12,car,2,51.51
164,12,car,4,52.75
165,12,car,1,53.47
166,12,car,6,57.11
167,12,car,3,58.28
168,12,car,10,59.16
169,12,car,7,64.35
170,12,car,8,71.45
171,12,car,9,71.98
172,12,car,12,73.97
173,12,car,11,79.42
174,12,car,14,84.33
175,12,car,15,88.28
176,12,car,13,89.23
177,12,car,5,91.79
178,13,car,17,50.33
179,13,car,2,53.0
180,13,car,3,57.76
181,13,car,4,59.01
182,13,car,10,60.41
183,13,car,7,66.29
184,13,car,9,70.67
185,13,car,8,71.99
186,13,car,12,74.07
187,13,car,11,78.32
188,13,car,14,84.54
189,13,car,13,87.16
190,13,car,5,88.72
191,13,car,15,89.49
192,14,car,17,50.53
193,14,car,1,50.59
194,14,car,18,51.25
195,14,car,3,54.77
196,14,car,4,58.8
197,14,car,10,58.95
198,14,car,7,61.52
199,14,car,9,68.14
200,14,car,8,72.84
201,14,car,12,74.12
202,14,car,11,75.26
203,14,car,14,88.0
204,14,car,13,88.35
205,14,car,15,88.37
206,14,car,5,90.59
207,15,car,3,52.29
208,15,car,18,53.4
209,15,car,1,53.59
210,15,car,6,56.48
211,15,car,7,59.32
212,15,car,10,62.27
213,15,car,9,63.21
214,15,car,4,68.02
215,15,car,8,70.09
216,15,car,12,73.32
217,15,car,11,77.61
218,15,car,13,86.51
219,15,car,14,86.54
220,15,car,5,87.99
221,15,car,15,88.9
222,16,car,1,52.57
223,16,car,3,52.74
224,16,car,10,57.24
225,16,truck,16,58.94
226,16,car,4,60.41
227,16,car,7,60.57
228,16,car,6,62.35
229,16,car,8,68.39
230,16,car,9,69.21
231,16,car,12,75.37
232,16,car,11,80.0
233,16,car,13,85.68
234,16,car,15,88.11
235,16,car,14,88.3
236,16,car,5,88.99
237,17,car,10,51.19
238,17,car,3,51.44
239,17,car,17,53.34
240,17,car,4,56.09
241,17,car,6,56.16
