,Frame,label,id,confidence
0,1,car,0,50.17
1,1,car,1,50.5
2,1,car,2,65.55
3,1,truck,3,67.9
4,1,car,4,68.67
5,1,car,5,77.2
6,1,car,6,78.16
7,1,car,7,78.43
8,1,car,8,80.09
9,1,car,9,80.89
10,1,car,10,81.61
11,1,car,11,89.22
12,1,truck,12,90.32
13,2,car,13,52.74
14,2,car,2,68.5
15,2,truck,3,68.83
16,2,car,5,74.74
17,2,car,7,76.87
18,2,car,6,79.4
19,2,car,9,81.02
20,2,car,8,81.03
21,2,car,10,81.52
22,2,car,11,89.3
23,2,truck,12,90.46
24,3,car,1,51.11
25,3,car,2,67.6
26,3,truck,3,72.66
27,3,car,5,74.08
28,3,car,7,77.07
29,3,car,6,80.19
30,3,car,8,81.06
31,3,car,10,81.64
32,3,car,9,81.78
33,3,car,11,89.4
34,3,truck,12,90.43
35,4,car,2,68.8
36,4,truck,3,72.97
37,4,car,5,74.44
38,4,car,7,78.67
39,4,car,6,80.38
40,4,car,8,81.05
41,4,car,10,81.67
42,4,car,9,82.31
43,4,car,11,89.15
44,4,truck,12,90.19
45,5,car,2,68.8
46,5,truck,3,72.97
47,5,car,5,74.44
48,5,car,7,78.68
49,5,car,6,80.38
50,5,car,8,81.06
51,5,car,10,81.67
52,5,car,9,82.38
53,5,car,11,89.15
54,5,truck,12,90.19
55,6,car,14,54.45
56,6,car,2,66.36
57,6,truck,3,67.03
58,6,car,5,69.72
59,6,car,7,74.98
60,6,car,6,80.06
61,6,car,9,80.96
62,6,car,10,81.22
63,6,car,8,81.76
64,6,car,11,89.39
65,6,truck,12,89.55
66,7,car,15,52.02
67,7,truck,3,67.98
68,7,car,5,68.96
69,7,car,2,69.4
70,7,car,7,76.62
71,7,car,6,78.34
72,7,car,9,81.4
73,7,car,8,81.63
74,7,car,10,81.74
75,7,car,11,89.42
76,7,truck,12,89.45
77,8,truck,16,51.68
78,8,car,14,53.67
79,8,car,17,60.44
80,8,truck,3,67.32
81,8,car,2,70.22
82,8,car,5,70.34
83,8,car,7,75.64
84,8,car,6,79.03
85,8,car,9,81.05
86,8,car,8,81.51
87,8,car,10,81.65
88,8,car,11,89.24
89,8,truck,12,89.84
90,9,truck,16,52.96
91,9,truck,3,65.01
92,9,car,5,65.01
93,9,car,2,66.82
94,9,car,7,72.65
95,9,car,6,80.68
96,9,car,9,80.69
97,9,car,8,81.02
